adj.P.Val,logFC,P.Value
0.9970912436,-0.0330545874,0.919111954
0.9077655341,-1.0121302302,0.4429304869
0.9367089697,-0.1002174202,0.529842137
0.7552342412,-0.4164508727,0.2189933198
0.1683413188,-0.4304312877,0.0089581779
0.9935944417,0.0692136309,0.8420653391
0.9910042415,0.03752171,0.7995890492
0.996929896,0.0152200885,0.9173030532
0.9973745623,-0.0456968356,0.9302045332
0.6279769303,-0.3038958228,0.1259911403
0.9092509847,-0.402171732,0.4456947166
0.7683869505,-0.8579704459,0.2301670598
0.5641324424,-0.7190486042,0.0975363445
0.7312363853,-1.0598543645,0.197746905
0.8597503385,-1.248290865,0.3432803884
0.9317174104,-0.3703208797,0.5158921798
0.9973745623,-0.0811907105,0.9327405417
0.988269408,-0.3343948675,0.7737723918
0.9947273519,-0.0501316618,0.8743079482
0.9252513781,-0.2718489333,0.4955500674
0.5676139198,-1.5787418937,0.0991699162
0.8124312142,-0.3305418091,0.2791745744
0.9910042415,-0.1189677988,0.7979767615
0.9973745623,0.0476176969,0.9314127862
0.9816638864,0.1124467921,0.7301738954
0.9856489845,-0.1178684758,0.7632216387
0.9672002827,-0.1122035468,0.6421945362
0.6947470806,0.3948734604,0.1695534126
0.5576929741,-0.3701057449,0.0945841538
0.9306000498,0.5040415377,0.5105393546
0.9916692318,-0.0595455676,0.8090768184
0.9235182901,-0.1111120062,0.4920888342
0.9947273519,0.0184711136,0.8759789241
0.8649205574,0.1520068578,0.3544833389
0.7510005208,-0.2704940538,0.2134026495
0.9916692318,-0.0422344668,0.8168107118
0.8370788286,0.1394753696,0.3102449721
0.0251546512,0.6189348517,0.0005166552
0.9983906907,-0.0097472952,0.9401779852
0.9800468368,0.0740020898,0.7138729719
0.9995327291,0.0118846272,0.9724250353
0.8933843273,-0.0989379813,0.4125076641
0.9816638864,-0.380976099,0.7226267632
0.7794595614,0.1614791776,0.2424121545
0.9973745623,-0.0329261457,0.9329324698
0.9712232698,0.1794152982,0.6656230719
0.9538490493,-0.1659621912,0.5901299452
0.9996008181,-0.0052615894,0.9868588908
0.8553413501,-0.3766861099,0.3357895408
0.8721221659,0.1880882201,0.3723333845
0.9996008181,-0.0154652914,0.986107895
0.9916692318,0.02914225,0.8187188068
0.9947273519,-0.111237835,0.8727245097
0.8739538345,-0.2775026133,0.3749848509
0.9763411992,-0.2013840877,0.6943427784
0.9910042415,0.1474554687,0.7995731858
0.7224785478,-0.2922976005,0.1891811016
0.9157548824,-0.3851181156,0.4624750209
0.9910960902,-0.0685145717,0.799913488
0.8677891539,-0.4840683655,0.3634603452
0.9869599966,-0.4715110087,0.7684621471
0.4312621773,-0.7803025171,0.0513579723
0.9699656721,-0.0959847481,0.6602552812
0.9955724513,0.0520152396,0.908273697
0.862013176,-0.2296147137,0.3483728547
0.9563373618,-0.1218543845,0.6038975832
0.9702508617,0.2234619343,0.6623229196
0.7478416205,-0.5774991056,0.2112907364
0.996929896,-0.0387608785,0.9168573292
0.9772821719,0.2480380783,0.7021559778
0.971030065,0.1060653421,0.6640615539
0.9959164045,-0.0950774557,0.9140992719
0.762794791,0.7072336577,0.2253446511
